Average Temp,Humidity,Wind Speed,Outcome
22,62,6,0
25,61,9,0
27,67,5,0
30,67,3,0
32,70,7,0
41,58,10,0
35,70,7,1
36,58,11,0
44,59,11,0
42,74,6,1
37,74,8,0
32,84,6,0
27,86,5,0
26,63,4,0
29,61,2,0
34,43,5,1
46,90,13,1
41,66,7,0
40,43,12,1
41,91,5,1
35,67,16,1
31,65,5,0
35,78,6,0
36,79,5,0
36,76,5,0
36,73,3,0
39,71,6,0
33,61,6,0
32,62,4,0
32,64,4,0
35,64,5,0
38,66,4,0
42,88,7,1
43,77,12,1
41,76,9,1
33,78,13,1
27,67,5,0
19,68,11,0
26,68,18,0
33,68,8,1
31,73,15,1
30,72,13,0
35,73,11,0
37,73,15,0
44,58,8,1
39,91,6,1
33,80,5,0
32,64,9,1
28,80,6,0
28,77,7,0
28,88,6,1
24,83,5,1
33,69,10,1
37,77,13,1
44,85,13,1
44,70,8,1
32,91,7,1
36,86,9,1
45,47.5,5,1
48,51,5,0
51,48,7,0
52,37,12,0
50,30,11,0
52,36,4,1
50,52,5,1
50,71,5,0
50,80,6,0
46,48,17,0
45,67,5,1
46,77,9,1
46,72,7,1
48,67,8,0
48,58,4,1
49,50,5,1
52,44,9,0
46,68,5,0
49,86,4,1
56,57,8,1
54,67,7,0
49,68,11,1
55,76,12,1
56,77,9,1
57,56,15,1
46,59,21,0
45,79,9,0
47,79,15,0
45,66,20,0
50,59,9,0
52,51,8,1
58,40,5,1
67,73,11,1
57,55,13,0
56,51,21,0
56,53,6,0
61,60,7,0
59,41,7,1
59,46,4,0
59,40,10,0
55,39,10,1
55,35,10,0
46,40,10,0
47,39,14,0
47,35,10,0
47,42,9.6,0
48,34,4,0
55,28,8,0
58,32,12,0
61,33,11,0
63,34,8,0
63,41,12,0
63,38,11,0
62,37,8,0
58,43,7,0
60,39,7,0
66,35,6,0
70,31,7,0
71,30,6,0
71,32,8,1
64,29,8,1
54,32,12,0
49,49,11,1
51,83,8,1
52,83,7,1
58,85,6,1
55,52,7,0
54,80,6,1
59,86,8,1
58,78,8,0
65,76,9,0
67,64,5,0
64,71,7,0
68,80,5,0
67,67,8,1
67,73,8,1
67,67,8,0
71,50,6,0
72,47,6,0
74,44,7,0
71,40,7,0
72,34,6,0
62,59,12,0
51,63,11,0
53,59,8,0
61,35,8,0
61,33,5,0
67,35,7,0
72,43,7,0
75,40,6,0
74,46,8,0
71,38,8,0
73,32,7,0
75,30,7,0
74,35,8,0
69,40,12,0
57,49,15,0
56,52,10,0
61,45,7,0
67,38,9,0
66,37,7,0
72,29,5,0
71,38,7,0
64,47,9,0
72,47,6,0
73,37,5,0
73,40,8,0
73,32,6,0
74,42,11,0
75,45,11,0
78,39,4,0
70,41,7,0
68,40,9,0
68,29,7,0
75,35,6,0
80,41,5,0
74,37,6,0
72,33,11,0
71,42,11,0
76,35,4,0
80,37,6,0
83,37,5,0
84,32,7,0
86,38,9,0
86,40,9,0
84,46,10,0
86,38,6,0
85,38,7,0
70,27,10,0
71,29,8,0
78,29,4,0
86,27,6,0
84,32,8,0
78,30,9,0
77,25,6,0
76,31,5,0
74,46,7,0
76,37,5,0
75,38,7,0
70,27,7,0
71,29,6,0
78,29,10,0
86,27,6,0
84,32,7,0
78,30,10,0
77,30,8,0
76,25,4,0
80,31,6,0
79,35,8,0
81,34,6,0
83,36,4,0
81,35,7,0
80,30,5,0
84,32,7,0
86,38,9,0
86,40,9,0
84,46,10,0
86,38,6,0
85,38,7,0
70,27,10,0
71,29,8,0
78,29,4,0
86,27,6,0
84,32,8,0
78,30,9,0
77,25,6,0
76,31,5,0
74,46,7,0
76,37,5,0
75,38,7,0
70,27,7,0
71,29,6,0
78,29,10,0
86,27,6,0
84,32,7,0
78,30,10,0
77,30,8,0
76,25,4,0
80,31,6,0
79,35,8,0
81,34,6,0
83,36,4,0
81,35,7,0
80,30,5,0
83,37,5,0
84,32,7,0
86,38,9,0
86,40,9,0
84,46,10,0
86,38,6,0
85,38,7,0
70,27,10,0
71,29,8,0
78,29,4,0
86,27,6,0
84,32,8,0
78,30,9,0
77,25,6,0
76,31,5,0
74,46,7,0
76,37,5,0
75,38,7,0
70,27,7,0
71,29,6,0
78,29,10,0
86,27,6,0
84,32,7,0
78,30,10,0
77,30,8,0
76,25,4,0
80,31,6,0
79,35,8,0
81,34,6,0
83,36,4,0
81,35,7,0
54,32,12,0
49,49,11,1
51,83,8,1
52,83,7,1
58,85,6,1
55,52,7,0
54,80,6,1
59,86,8,1
58,78,8,0
65,76,9,0
67,64,5,0
64,71,7,0
68,80,5,0
67,67,8,1
67,73,8,1
67,67,8,0
71,50,6,0
72,47,6,0
74,44,7,0
71,40,7,0
72,34,6,0
62,59,12,0
51,63,11,0
53,59,8,0
61,35,8,0
61,33,5,0
67,35,7,0
72,43,7,0
75,40,6,0
74,46,8,0
71,38,8,0
49,68,11,1
55,76,12,1
56,77,9,1
57,56,15,1
46,59,21,0
45,79,9,0
47,79,15,0
45,66,20,0
50,59,9,0
52,51,8,1
58,40,5,1
67,73,11,1
57,55,13,0
56,51,21,0
56,53,6,0
61,60,7,0
59,41,7,1
59,46,4,0
59,40,10,0
55,39,10,1
55,35,10,0
46,40,10,0
47,39,14,0
47,35,10,0
47,42,9.6,0
48,34,4,0
55,28,8,0
58,32,12,0
61,33,11,0
63,34,8,0
63,41,12,0
63,38,11,0
62,37,8,0
58,43,7,0
60,39,7,0
66,35,6,0
70,31,7,0
71,30,6,0
71,32,8,1
64,29,8,1
54,32,12,0
22,62,6,0
25,61,9,0
27,67,5,0
30,67,3,0
32,70,7,0
41,58,10,0
35,70,7,1
36,58,11,0
44,59,11,0
42,74,6,1
37,74,8,0
32,84,6,0
27,86,5,0
26,63,4,0
29,61,2,0
34,43,5,1
46,90,13,1
41,66,7,0
40,43,12,1
41,91,5,1
